matricula,nombre,paterno,materno,carrera,servicio
08308044,CARLA ELENA,AIRAS,MORELLO,Ingeniería en Electrónica,26 DE MAYO DE 1986 AL 22 DE NOVIEMBRE DE 1986
17302314,PABLO ADOLFO,MUMBRU,ELORZ,Ingeniería en Sistemas Computacionales,17 DE ABRIL DE 1986 AL 14 DE OCTUBRE DE 1986
C86303679,ALAN DOUGLAS,CERCEDA,MANZANERA,Ingeniería en Electrónica,13 DE SEPTIEMBRE DE 1985 AL 12 DE MARZO DE 1986
C77306689,ISORA,CURA,TREGON,Licenciatura en Contaduría,5 DE MAYO DE 2022 AL 1 DE NOVIEMBRE DE 2022
C74308471,MARIA SETEFILLA,AHUFINGER,BUMEDIEN,Licenciatura en Contaduría,9 DE OCTUBRE DE 2008 AL 7 DE ABRIL DE 2009
15306619,VITORIO,TERRAZAS,PEDREGAL,Ingeniería en Electrónica,8 DE SEPTIEMBRE DE 1994 AL 7 DE MARZO DE 1995
81308080,JEAN CLAUDE,ORQUIN,ZUAZUA,Licenciatura en Contaduría,13 DE JUNIO DE 1982 AL 10 DE DICIEMBRE DE 1982
C89301613,TEODORO LUIS,MARZOK,MATIAS,Licenciatura en Contaduría,3 DE NOVIEMBRE DE 1996 AL 2 DE MAYO DE 1997
C89302028,MARIA DENIS,PEGUERO,ELIO,Licenciatura en Contaduría,4 DE DICIEMBRE DE 2019 AL 1 DE JUNIO DE 2020
02308694,LUIS RENE,GUINDEL,OYARZABAL,Ingeniería Industrial,11 DE ABRIL DE 1985 AL 8 DE OCTUBRE DE 1985
78309819,MONICA JOSEFINA,CARBELO,BERJA,Ingeniería Industrial,27 DE ABRIL DE 2015 AL 24 DE OCTUBRE DE 2015
75303708,NIKOLAY YORDANOV,TRONCOSO,SANKAREH,Licenciatura en Administración,15 DE AGOSTO DE 1982 AL 11 DE FEBRERO DE 1983
C76302815,AMETS,ARBULU,STOIA,Licenciatura en Contaduría,7 DE JUNIO DE 2003 AL 4 DE DICIEMBRE DE 2003
C86304727,JULIO RAMON,JUCAN,CHAVES,Licenciatura en Contaduría,25 DE JUNIO DE 2000 AL 22 DE DICIEMBRE DE 2000
24307517,RABIAA,ZOUHRI,LONCAN,Ingeniería en Electrónica,30 DE MAYO DE 2019 AL 26 DE NOVIEMBRE DE 2019
C00304296,IRMA BEATRIZ,CALDERON DE LA BARCA,FAJARNES,Ingeniería Industrial,23 DE ABRIL DE 1995 AL 20 DE OCTUBRE DE 1995
C89307695,MARTA DOLORES,IBARGUREN,CHAMBERLAIN,Ingeniería en Sistemas Computacionales,28 DE MAYO DE 2002 AL 24 DE NOVIEMBRE DE 2002
C81304213,PHILIP JOHN,CERROS,NAHARRO,Licenciatura en Contaduría,10 DE SEPTIEMBRE DE 2022 AL 9 DE MARZO DE 2023
01302749,WENDY PAOLA,SOLSONA,BEDMAR,Licenciatura en Contaduría,14 DE FEBRERO DE 2015 AL 13 DE AGOSTO DE 2015
C13300411,ALBARINA,VICIEDO,LA O,Ingeniería Industrial,8 DE NOVIEMBRE DE 1990 AL 7 DE MAYO DE 1991
C88304329,JIAYU,GUAMAN,BLANQUEZ,Licenciatura en Contaduría,29 DE SEPTIEMBRE DE 1997 AL 28 DE MARZO DE 1998
C74306181,NELLY BEATRIZ,MASACHS,OLAIZ,Ingeniería en Electrónica,30 DE AGOSTO DE 1996 AL 26 DE FEBRERO DE 1997
C85309802,RASTISLAV,ARENZANA,DE BARRIO,Ingeniería Industrial,8 DE AGOSTO DE 2004 AL 4 DE FEBRERO DE 2005
12306519,JOSE ADAY,CASES,PIÑEIRA,Ingeniería en Electrónica,1 DE OCTUBRE DE 1990 AL 30 DE MARZO DE 1991
C84302095,OSMANY,RECLUSA,VALDEZATE,Ingeniería Industrial,4 DE ABRIL DE 2004 AL 1 DE OCTUBRE DE 2004
78304906,MARIA ANN,CALL,CONSTANS,Licenciatura en Contaduría,17 DE SEPTIEMBRE DE 1982 AL 16 DE MARZO DE 1983
78300169,HECTOR MARIA,DULCE,YELMO,Ingeniería en Sistemas Computacionales,10 DE ABRIL DE 2000 AL 7 DE OCTUBRE DE 2000
92302925,ESTEBAN DOMINGO,CIRIANO,TOBIA,Licenciatura en Administración,31 DE OCTUBRE DE 2001 AL 29 DE ABRIL DE 2002
C96302270,MARIA FABIANA,AYNES,ENCINA,Ingeniería en Electrónica,9 DE FEBRERO DE 2021 AL 8 DE AGOSTO DE 2021
96306806,RUBEN OSCAR,PAMO,MONCO,Licenciatura en Administración,19 DE AGOSTO DE 2006 AL 15 DE FEBRERO DE 2007
84300102,KHEDIDJA,CASQUET,ECHAURI,Ingeniería en Electrónica,14 DE JULIO DE 2009 AL 10 DE ENERO DE 2010
C94309758,BEATA EWA,VIAS,SANTIESTEBAN,Ingeniería Industrial,12 DE JULIO DE 2012 AL 8 DE ENERO DE 2013
20304661,MARIA DORES,VALDERICEDA,MEZQUIRIZ,Ingeniería en Sistemas Computacionales,12 DE FEBRERO DE 1996 AL 10 DE AGOSTO DE 1996
93301908,ANDREA LOUISE,GARCIA CONDE,DIAZ BENITO,Ingeniería en Sistemas Computacionales,16 DE JULIO DE 1978 AL 12 DE ENERO DE 1979
11302034,RICART,FERREL,VILLARROYA,Ingeniería Industrial,31 DE OCTUBRE DE 1980 AL 29 DE ABRIL DE 1981
C89301749,MARIO OSVALDO,CATON,ELGUEZABAL,Ingeniería Industrial,19 DE OCTUBRE DE 2004 AL 17 DE ABRIL DE 2005
03303406,ABDELKHALEQ,HAYA,ORTUÑO,Licenciatura en Administración,13 DE SEPTIEMBRE DE 1984 AL 12 DE MARZO DE 1985
C99303748,XIUJUAN,GABIAN,ABUIN,Ingeniería en Electrónica,25 DE JULIO DE 1987 AL 21 DE ENERO DE 1988
C08307521,MATHIS,VALMASEDA,CACHAN,Ingeniería en Electrónica,11 DE SEPTIEMBRE DE 1996 AL 10 DE MARZO DE 1997
11302739,PILAR YOLANDA,POMBERO,LIZONDO,Ingeniería Industrial,1 DE AGOSTO DE 1978 AL 28 DE ENERO DE 1979
C80304705,SHARAI,COSTAN,PERARNAU,Licenciatura en Administración,8 DE MAYO DE 1996 AL 4 DE NOVIEMBRE DE 1996
07303074,CALOGERO,GIMENA,HUELTES,Licenciatura en Administración,3 DE DICIEMBRE DE 2020 AL 1 DE JUNIO DE 2021
C81300900,MARIUS CATALIN,DE LA OBRA,FENOLL,Licenciatura en Contaduría,31 DE JULIO DE 1997 AL 27 DE ENERO DE 1998
C20301699,XIAOLEI,CONGOSTO,PORLAN,Ingeniería en Sistemas Computacionales,10 DE ENERO DE 2019 AL 9 DE JULIO DE 2019
11305488,OSMANY,SARSANEDAS,MARTINEZ DE LA PERA,Ingeniería en Sistemas Computacionales,27 DE SEPTIEMBRE DE 2008 AL 26 DE MARZO DE 2009
C82305925,JOAN MIQUEL,QUEIRUGA,RAIS,Ingeniería Industrial,24 DE JUNIO DE 1986 AL 21 DE DICIEMBRE DE 1986
C84305040,JAIRO ALONSO,MONASTERIO,FURRIOL,Ingeniería en Sistemas Computacionales,16 DE ABRIL DE 1997 AL 13 DE OCTUBRE DE 1997
C09303903,DANIELA,TODORAN,URTIAGA,Ingeniería Industrial,9 DE JUNIO DE 2002 AL 6 DE DICIEMBRE DE 2002
C74302584,MARITZA ALTAGRACIA,NORTES,DE PEÑA,Licenciatura en Contaduría,1 DE ENERO DE 1999 AL 30 DE JUNIO DE 1999
C89308221,JOJO,SILVERO,BERGANZA,Licenciatura en Administración,18 DE MAYO DE 2004 AL 14 DE NOVIEMBRE DE 2004
C94309469,DUMITRU LAURENTIU,COLOMERA,TUTIVEN,Licenciatura en Contaduría,20 DE MAYO DE 1990 AL 16 DE NOVIEMBRE DE 1990
C87303997,LARYSA,SHAO,ACEITUNO,Licenciatura en Administración,5 DE JUNIO DE 1991 AL 2 DE DICIEMBRE DE 1991
75307554,YOLANDA ELVIRA,ARRIZABALAGA,FERRUZ,Ingeniería Industrial,16 DE MARZO DE 2017 AL 12 DE SEPTIEMBRE DE 2017
24305245,CATARINA ISABEL,SENOSIAIN,ZAVALETA,Ingeniería Industrial,25 DE NOVIEMBRE DE 2006 AL 24 DE MAYO DE 2007
89308788,GERHARD WILHELM,RICHARDSON,GURRUCHAGA,Ingeniería en Sistemas Computacionales,3 DE MARZO DE 1993 AL 30 DE AGOSTO DE 1993
C97309673,ALICIA MAR,TONG,GARCIA DEL RIO,Ingeniería en Sistemas Computacionales,5 DE OCTUBRE DE 1993 AL 3 DE ABRIL DE 1994
C09307963,JOHANNA MARCELA,ORBANEJA,URETA,Ingeniería Industrial,8 DE MARZO DE 2025 AL 4 DE SEPTIEMBRE DE 2025
C01309976,CHAHRAZED,REDREJO,NOSTI,Ingeniería en Sistemas Computacionales,8 DE SEPTIEMBRE DE 2013 AL 7 DE MARZO DE 2014
87300427,JEFFERSON JOSE,CACHIGUANGO,MAISTERRA,Ingeniería en Sistemas Computacionales,4 DE OCTUBRE DE 2005 AL 2 DE ABRIL DE 2006
01308926,BERTHE,ROSEL,MARRAHI,Ingeniería Industrial,22 DE DICIEMBRE DE 1988 AL 20 DE JUNIO DE 1989
24308559,IOAN AUREL,OYONARTE,TAULATS,Ingeniería en Electrónica,31 DE AGOSTO DE 1981 AL 27 DE FEBRERO DE 1982
20301762,PEDRO SEGUNDO,ASCENSION,GAZPIO,Ingeniería en Electrónica,2 DE ABRIL DE 1990 AL 29 DE SEPTIEMBRE DE 1990
C90304623,GONZALO ARIEL,GAZTAÑAGA,TORIO,Ingeniería Industrial,27 DE FEBRERO DE 2004 AL 25 DE AGOSTO DE 2004
97301515,TXARO,ESCARDO,EZKURRA,Ingeniería Industrial,1 DE ABRIL DE 2013 AL 28 DE SEPTIEMBRE DE 2013
C25302921,SOHRA,BELHAJ,ARBOLES,Ingeniería en Sistemas Computacionales,6 DE OCTUBRE DE 2004 AL 4 DE ABRIL DE 2005
C93308234,LINA ALEXANDRA,SOLSONA,ARIZTI,Licenciatura en Administración,13 DE JUNIO DE 1985 AL 10 DE DICIEMBRE DE 1985
C10307406,HENG,FILIBERTO,MURIES,Licenciatura en Administración,26 DE JUNIO DE 2017 AL 23 DE DICIEMBRE DE 2017
C24304729,CARMEN CONSUELO,TIPANTUÑA,DOTRAS,Licenciatura en Administración,28 DE MARZO DE 2009 AL 24 DE SEPTIEMBRE DE 2009
10309267,TEOTISTA,GAMON,DE MIGUEL,Licenciatura en Contaduría,22 DE ABRIL DE 2011 AL 19 DE OCTUBRE DE 2011
C00308170,LUIS OLMEDO,DE LA CASA,URECHE,Ingeniería en Electrónica,24 DE AGOSTO DE 2012 AL 20 DE FEBRERO DE 2013
C16302717,VALERIU,VODA,FRUNZA,Licenciatura en Contaduría,5 DE MAYO DE 1980 AL 1 DE NOVIEMBRE DE 1980
C12305283,MELANIE,BANCHON,LOPERENA,Licenciatura en Contaduría,19 DE AGOSTO DE 2003 AL 15 DE FEBRERO DE 2004
C14301132,RAMON SANTOS,ARROYO,GALARZA,Ingeniería en Electrónica,7 DE ENERO DE 2018 AL 6 DE JULIO DE 2018
C22309577,HUILIN,PIÑAS,MONTANYA,Ingeniería en Sistemas Computacionales,16 DE MAYO DE 1983 AL 12 DE NOVIEMBRE DE 1983
21306921,MARIA SALUD,MURUA,CABARGA,Ingeniería en Sistemas Computacionales,21 DE JULIO DE 1977 AL 17 DE ENERO DE 1978
C12304099,JUSTINO,CISNERO,BRETT,Ingeniería Industrial,28 DE JULIO DE 1996 AL 24 DE ENERO DE 1997
89309014,CLAUDIO ENRIQUE,ANJOS,KABIR,Licenciatura en Contaduría,19 DE ENERO DE 2021 AL 18 DE JULIO DE 2021
12308211,FELIZA,BUENDIA,PELIGERO,Licenciatura en Contaduría,21 DE DICIEMBRE DE 2016 AL 19 DE JUNIO DE 2017
C07306696,ALFONSO IGNACIO,LECHIGUERO,MAZHAR,Ingeniería en Electrónica,25 DE FEBRERO DE 1996 AL 23 DE AGOSTO DE 1996
79301290,DEBORAH JANE,PRADAS,ASUERO,Ingeniería Industrial,16 DE MARZO DE 2022 AL 12 DE SEPTIEMBRE DE 2022
88301592,MEILI,IFTODE,RAT,Licenciatura en Contaduría,3 DE FEBRERO DE 2023 AL 2 DE AGOSTO DE 2023
C11303523,ELISEO ANTONIO,USATORRE,CASAU,Ingeniería en Electrónica,30 DE MAYO DE 1990 AL 26 DE NOVIEMBRE DE 1990
76308679,YELIZAVETA,ROCH,SALVIA,Licenciatura en Contaduría,17 DE AGOSTO DE 1974 AL 13 DE FEBRERO DE 1975
C15305451,BLANCA MIRIAM,AMIGOT,AIXUT,Ingeniería Industrial,23 DE AGOSTO DE 2012 AL 19 DE FEBRERO DE 2013
06300242,ERICK,DIAZ MERINO,OZAETA,Ingeniería en Sistemas Computacionales,4 DE ENERO DE 2001 AL 3 DE JULIO DE 2001
88301631,ADINA MARIANA,SANGUÑA,PUNZANO,Licenciatura en Administración,4 DE MARZO DE 2013 AL 31 DE AGOSTO DE 2013
C16304728,SARA GEMA,GARVI,CARDOZO,Ingeniería en Sistemas Computacionales,4 DE SEPTIEMBRE DE 2015 AL 2 DE MARZO DE 2016
C96304653,MARTIN EUGENIO,GALITO,DANES,Ingeniería en Sistemas Computacionales,28 DE SEPTIEMBRE DE 1996 AL 27 DE MARZO DE 1997
C00301444,MANDEEP,RIGOL,VALDEAVERO,Ingeniería Industrial,23 DE JULIO DE 2010 AL 19 DE ENERO DE 2011
C11302998,ANDREA INES,ROLO,ESCLAPEZ,Ingeniería Industrial,17 DE MARZO DE 1991 AL 13 DE SEPTIEMBRE DE 1991
98301943,RICARDO ALFONSO,VALIMAÑA,MATENCIO,Ingeniería en Sistemas Computacionales,28 DE FEBRERO DE 1989 AL 27 DE AGOSTO DE 1989
C99304560,LUIS RUFINO,OMORODION,DAMPHA,Ingeniería en Sistemas Computacionales,25 DE JUNIO DE 2008 AL 22 DE DICIEMBRE DE 2008
96301196,SANTIAGO OSCAR,RIBAU,TODOR,Ingeniería Industrial,22 DE ABRIL DE 1988 AL 19 DE OCTUBRE DE 1988
C01302489,PATRICIA CARLA,NOLL,FRANQUIS,Ingeniería en Sistemas Computacionales,27 DE MAYO DE 2006 AL 23 DE NOVIEMBRE DE 2006
76308186,LAURA SUSANA,HOLLOWAY,ARMENTERO,Licenciatura en Contaduría,10 DE OCTUBRE DE 1984 AL 8 DE ABRIL DE 1985
C05301924,LUISA MARINA,BLAT,SUBIRACHS,Ingeniería Industrial,2 DE MAYO DE 1995 AL 29 DE OCTUBRE DE 1995
C78304545,ALEXANDRE MANUEL,AZOUZ,GHANEM,Ingeniería en Sistemas Computacionales,23 DE DICIEMBRE DE 2004 AL 21 DE JUNIO DE 2005
89304601,MARIANA PAOLA,JUBERA,LONCAN,Ingeniería en Electrónica,25 DE ABRIL DE 2003 AL 22 DE OCTUBRE DE 2003
77307198,RAJIV,GIRONA,BARGALLO,Ingeniería en Electrónica,2 DE MAYO DE 1990 AL 29 DE OCTUBRE DE 1990
92304278,MIRCEA IOAN,VILAGINES,PUYOL,Licenciatura en Administración,10 DE AGOSTO DE 2010 AL 6 DE FEBRERO DE 2011
C77308978,MARINA DOLORES,CALABIA,OGAYAR,Licenciatura en Contaduría,26 DE MAYO DE 1978 AL 22 DE NOVIEMBRE DE 1978
C98308281,MANUEL GUMERSINDO,MONTESERIN,CONDEMINAS,Licenciatura en Administración,30 DE MARZO DE 1981 AL 26 DE SEPTIEMBRE DE 1981
C76305200,DARYA,MUSCALU,DAROCA,Ingeniería en Sistemas Computacionales,22 DE ABRIL DE 1978 AL 19 DE OCTUBRE DE 1978
C02304752,LAZARO MIGUEL,RABANAL,SUDUPE,Licenciatura en Contaduría,11 DE ABRIL DE 2008 AL 8 DE OCTUBRE DE 2008
97300066,MARTHA ELISA,LEANDRO,DELANEY,Licenciatura en Contaduría,2 DE SEPTIEMBRE DE 2005 AL 1 DE MARZO DE 2006
C85302236,JENNY MARIA,SORELL,SERON,Licenciatura en Contaduría,4 DE NOVIEMBRE DE 2018 AL 3 DE MAYO DE 2019
C02303054,OLEH,DONADO,CASTAÑEIRA,Licenciatura en Administración,19 DE AGOSTO DE 2012 AL 15 DE FEBRERO DE 2013
C02309597,XIAOLAN,POSADO,MAGADAN,Licenciatura en Contaduría,8 DE SEPTIEMBRE DE 1994 AL 7 DE MARZO DE 1995
85300344,DOLORES AMALIA,TELES,SANCHEZ HERMOSILLA,Ingeniería en Electrónica,29 DE DICIEMBRE DE 1985 AL 27 DE JUNIO DE 1986
91301576,NILO,BASALLO,GREUS,Ingeniería en Sistemas Computacionales,21 DE JULIO DE 2015 AL 17 DE ENERO DE 2016
C86306836,LUIS FELIX,TOBAJAS,GHANEM,Ingeniería en Electrónica,4 DE JUNIO DE 1993 AL 1 DE DICIEMBRE DE 1993
94306023,MARIA IDALIA,DANES,GUANANGA,Ingeniería en Sistemas Computacionales,13 DE FEBRERO DE 2001 AL 12 DE AGOSTO DE 2001
C89303401,KARINA ESTEFANIA,FALCES,MINCU,Ingeniería en Electrónica,6 DE ENERO DE 1985 AL 5 DE JULIO DE 1985
17307694,MELANIE ALEJANDRA,ALDALUR,TORRENT,Licenciatura en Administración,27 DE ABRIL DE 2025 AL 24 DE OCTUBRE DE 2025
C81308319,KONIMBA,BOUTALEB,POCERO,Ingeniería Industrial,26 DE DICIEMBRE DE 1980 AL 24 DE JUNIO DE 1981
11302120,JORGE DAMIAN,RECODER,CARRARA,Licenciatura en Contaduría,27 DE FEBRERO DE 2015 AL 26 DE AGOSTO DE 2015
C88303859,JIA XIN,PELOCHE,PRADILLO,Licenciatura en Administración,1 DE NOVIEMBRE DE 2002 AL 30 DE ABRIL DE 2003
C87303066,MARIE PAULE,MINGOLLA,ENDARA,Ingeniería en Sistemas Computacionales,7 DE FEBRERO DE 1994 AL 6 DE AGOSTO DE 1994
90309980,CECILIA ROSA,RANSANZ,PERALEDA,Licenciatura en Administración,20 DE FEBRERO DE 2007 AL 19 DE AGOSTO DE 2007
C19307968,JOAQUIN SERGIO,PEREÑA,MANOTAS,Ingeniería en Sistemas Computacionales,2 DE OCTUBRE DE 2001 AL 31 DE MARZO DE 2002
86309721,RIDA,PRIEGUE,SUJA,Ingeniería Industrial,9 DE DICIEMBRE DE 2024 AL 7 DE JUNIO DE 2025
C96307633,ANGEL MEDARDO,JOAN,RADUCANU,Licenciatura en Administración,15 DE DICIEMBRE DE 1988 AL 13 DE JUNIO DE 1989
05304703,JOHAN ALEJANDRO,CORET,GUIÑON,Ingeniería en Sistemas Computacionales,20 DE AGOSTO DE 1974 AL 16 DE FEBRERO DE 1975
83305064,KAREN,RUGEL,RUIZ ROSO,Ingeniería Industrial,9 DE MAYO DE 1997 AL 5 DE NOVIEMBRE DE 1997
15300794,SANTINA,SAN CLEMENTE,BERGMANN,Ingeniería Industrial,31 DE ENERO DE 2021 AL 30 DE JULIO DE 2021
92306574,ANA ENCARNACION,ICARDO,LINAJE,Ingeniería en Electrónica,7 DE JUNIO DE 1992 AL 4 DE DICIEMBRE DE 1992
18307122,JEFFERSON JOSE,GUIJOSA,CANUDAS,Ingeniería en Electrónica,28 DE JULIO DE 2009 AL 24 DE ENERO DE 2010
93309335,AARON ANDRES,BUIL,BORISLAVOV,Licenciatura en Administración,14 DE OCTUBRE DE 2006 AL 12 DE ABRIL DE 2007
76306108,PAMELA JOYCE,BARTON,ACHUTEGUI,Licenciatura en Contaduría,9 DE SEPTIEMBRE DE 1995 AL 7 DE MARZO DE 1996
91303048,CARLOS AUGUSTO,OLIVIERI,PALA,Ingeniería en Electrónica,23 DE ABRIL DE 1976 AL 20 DE OCTUBRE DE 1976
C89304489,PATRICIO DANIEL,GUBAU,PIQUERAS,Ingeniería en Electrónica,4 DE AGOSTO DE 1979 AL 31 DE ENERO DE 1980
87300857,AMPARO REYES,MARTINEZ DE MORENTIN,LEITE,Ingeniería Industrial,12 DE MARZO DE 1987 AL 8 DE SEPTIEMBRE DE 1987
21308389,ANDREA ROMINA,GIL ORTEGA,PROAÑO,Licenciatura en Contaduría,30 DE ABRIL DE 1998 AL 27 DE OCTUBRE DE 1998
C05301985,CARIM,BARTEL,MAIDAGAN,Ingeniería en Sistemas Computacionales,29 DE ENERO DE 2009 AL 28 DE JULIO DE 2009
11308258,MARGARITA AURORA,PAJE,CIOACA,Ingeniería en Sistemas Computacionales,9 DE SEPTIEMBRE DE 2014 AL 8 DE MARZO DE 2015
90300341,RAQUEL BELEN,RESPALDIZA,BAZAN,Licenciatura en Administración,25 DE JULIO DE 1985 AL 21 DE ENERO DE 1986
90303882,JUAN PAULO,RIVERA,CATARINO,Ingeniería en Electrónica,26 DE JUNIO DE 1979 AL 23 DE DICIEMBRE DE 1979
C98304437,LIZETH FERNANDA,BALTAR,CAÑIZAL,Ingeniería Industrial,1 DE ABRIL DE 1999 AL 28 DE SEPTIEMBRE DE 1999
02303040,PATRICIA ANDREA,DANSOKO,JUDEZ,Ingeniería en Sistemas Computacionales,25 DE DICIEMBRE DE 2017 AL 23 DE JUNIO DE 2018
C98304129,ANET,LOBACO,VEA,Licenciatura en Contaduría,9 DE ENERO DE 1988 AL 7 DE JULIO DE 1988
C99302074,ENRIQUE MOISES,ALEMAN,PITIGOI,Ingeniería Industrial,20 DE ENERO DE 2015 AL 19 DE JULIO DE 2015
91309173,GEOFFREY JOHN,SAMBADE,COCO,Ingeniería en Electrónica,1 DE JUNIO DE 1992 AL 28 DE NOVIEMBRE DE 1992
C94304117,JOSE HILARIO,JAVED,ARBOLEYA,Ingeniería en Sistemas Computacionales,22 DE ENERO DE 1995 AL 21 DE JULIO DE 1995
C88306311,ANGEL ABEL,BONAVIDA,GABEIRAS,Ingeniería Industrial,12 DE DICIEMBRE DE 1982 AL 10 DE JUNIO DE 1983
07300226,SORIN VALENTIN,CORNELLANA,GIRONDA,Licenciatura en Administración,27 DE JUNIO DE 1991 AL 24 DE DICIEMBRE DE 1991
82300422,PEDRO BAUTISTA,VILARIÑO,WILCOX,Licenciatura en Administración,23 DE DICIEMBRE DE 1988 AL 21 DE JUNIO DE 1989
85300137,CAROLINA ELIZABETH,BELTRI,SAUCE,Ingeniería Industrial,6 DE FEBRERO DE 2009 AL 5 DE AGOSTO DE 2009
C97306594,ENRIQUE JESUS,TORINOS,SERRAL,Ingeniería en Electrónica,17 DE JUNIO DE 2022 AL 14 DE DICIEMBRE DE 2022
18301396,VEREMUNDO,EVANS,CUCURELLA,Ingeniería Industrial,10 DE AGOSTO DE 2000 AL 6 DE FEBRERO DE 2001
13300205,FAWZIA,USMAN,BABAR,Ingeniería en Electrónica,24 DE JUNIO DE 2008 AL 21 DE DICIEMBRE DE 2008
C91307210,NAJUA,IDAÑEZ,LENDRINO,Licenciatura en Contaduría,24 DE JUNIO DE 2008 AL 21 DE DICIEMBRE DE 2008
C89305675,ZUBAIR,BALAN,POLAN,Ingeniería en Electrónica,17 DE ABRIL DE 1978 AL 14 DE OCTUBRE DE 1978
86309758,MARIA SHEYLA,USACH,MATOSES,Ingeniería en Electrónica,15 DE ENERO DE 1989 AL 14 DE JULIO DE 1989
C03308016,JULIA INMACULADA,ARNOLD,CUSSO,Licenciatura en Administración,13 DE ENERO DE 1977 AL 12 DE JULIO DE 1977
C08306871,GEMMA LOUISE,BENABARRE,COJOC,Licenciatura en Administración,28 DE ABRIL DE 1984 AL 25 DE OCTUBRE DE 1984
83309929,GERARDO DIEGO,MOURAD,VELIZ,Ingeniería en Electrónica,4 DE MAYO DE 2011 AL 31 DE OCTUBRE DE 2011
C04305691,ROBERTO ALFREDO,CALLADO,EGAS,Ingeniería Industrial,20 DE MAYO DE 1995 AL 16 DE NOVIEMBRE DE 1995
16307888,PEDRO JONAY,GRIVE,NAVAREÑO,Licenciatura en Contaduría,1 DE ABRIL DE 2022 AL 28 DE SEPTIEMBRE DE 2022
C02305831,CARLOS GASPAR,ALSASUA,TIELVE,Licenciatura en Contaduría,7 DE JULIO DE 1976 AL 3 DE ENERO DE 1977
94300076,MARE,IVANESCU,SERRAS,Licenciatura en Contaduría,17 DE FEBRERO DE 2011 AL 16 DE AGOSTO DE 2011
C08300105,AARON ANTONIO,CHUMPITAZ,SADABA,Ingeniería Industrial,22 DE FEBRERO DE 2015 AL 21 DE AGOSTO DE 2015
C05301661,JOSEFA ROSALIA,FOCHE,TOSUN,Ingeniería Industrial,10 DE ENERO DE 2023 AL 9 DE JULIO DE 2023
91309342,ANGIE MELISSA,CASTROVIEJO,EULOGIO,Ingeniería en Electrónica,3 DE NOVIEMBRE DE 2004 AL 2 DE MAYO DE 2005
C21308609,CLINTON,GARZON,BORRACHERO,Licenciatura en Administración,1 DE MAYO DE 1986 AL 28 DE OCTUBRE DE 1986
C83307298,MELISA,COLOMINA,ESTEFANO,Ingeniería en Electrónica,18 DE SEPTIEMBRE DE 1984 AL 17 DE MARZO DE 1985
82306965,CLARA JULIA,BUSCARONS,JOSA,Ingeniería en Electrónica,25 DE JULIO DE 1999 AL 21 DE ENERO DE 2000
C94302808,JUN,MOMPARLER,MERELLES,Licenciatura en Administración,20 DE DICIEMBRE DE 1991 AL 17 DE JUNIO DE 1992
C10305142,IOAN DAN,VIZARRO,FONTA,Licenciatura en Administración,21 DE MARZO DE 2000 AL 17 DE SEPTIEMBRE DE 2000
C11308745,MARIANO VICENTE,GAINZARAIN,HANCOCK,Ingeniería en Sistemas Computacionales,14 DE JUNIO DE 2005 AL 11 DE DICIEMBRE DE 2005
91306832,FERNANDO LORENZO,SANTORO,LABRADO,Licenciatura en Contaduría,18 DE OCTUBRE DE 1977 AL 16 DE ABRIL DE 1978
95300836,GREGORIO AGUSTIN,ABIDA,SIMION,Ingeniería en Electrónica,15 DE FEBRERO DE 1989 AL 14 DE AGOSTO DE 1989
84306543,CHAFIA,BANUS,ARTAL,Ingeniería en Electrónica,15 DE JUNIO DE 2013 AL 12 DE DICIEMBRE DE 2013
93303130,EMILIA ASUNCION,ZARIOH,MARTIN ARAGON,Ingeniería en Sistemas Computacionales,21 DE MAYO DE 2004 AL 17 DE NOVIEMBRE DE 2004
C87302941,ANTONIO GIL,BETANCURT,ATAZ,Ingeniería en Sistemas Computacionales,17 DE ABRIL DE 2019 AL 14 DE OCTUBRE DE 2019
C18301356,XIAOYING,ICETA,HERREZUELO,Licenciatura en Contaduría,25 DE JULIO DE 1992 AL 21 DE ENERO DE 1993
C04305160,CARLOS MARCELINO,HIDALGO,CHOUKRI,Licenciatura en Administración,13 DE SEPTIEMBRE DE 1989 AL 12 DE MARZO DE 1990
76307861,MARIA ROSELL,GERMAIN,MUNTAÑOLA,Ingeniería Industrial,19 DE JULIO DE 2003 AL 15 DE ENERO DE 2004
C09307218,DABO,ANTICH,HERNANDIZ,Licenciatura en Administración,26 DE JULIO DE 2025 AL 22 DE ENERO DE 2026
04301497,AMPARO BEATRIZ,MARZOK,GORMAZ,Licenciatura en Contaduría,14 DE MAYO DE 1975 AL 10 DE NOVIEMBRE DE 1975
25305145,ABDELJEBBAR,BORREGAN,MONELL,Licenciatura en Administración,12 DE MARZO DE 1982 AL 8 DE SEPTIEMBRE DE 1982
C13306232,EVELIA MARIA,NEIRO,RODRIGUEZ BARBERO,Licenciatura en Contaduría,19 DE JULIO DE 1999 AL 15 DE ENERO DE 2000
C81309166,JAQUELINE,IRAOLAGOITIA,SOBRERO,Ingeniería en Sistemas Computacionales,19 DE NOVIEMBRE DE 2005 AL 18 DE MAYO DE 2006
18300576,MARTA SOLEDAD,TURRILLO,ARMENTAL,Licenciatura en Contaduría,18 DE AGOSTO DE 1989 AL 14 DE FEBRERO DE 1990
03308537,MARIA CASILDA,BUSTABAD,MUHAMMAD,Ingeniería Industrial,17 DE OCTUBRE DE 1979 AL 14 DE ABRIL DE 1980
